Newspaper Title,Issue Date,Page Number,City,State,PDF Link,prim_long_dec,prim_lat_dec
The Lamar Register,08-08-1900,3,Lamar,Colorado,https://tile.loc.gov/storage-services/service/ndnp/cohi/batch_cohi_bailey_ver02/data/sn86063147/00279528256/1900080801/0484.pdf,-102.6152655,38.1419146
The Newtown Bee,02-13-1903,1,Newtown,Connecticut,https://tile.loc.gov/storage-services/service/ndnp/ct/batch_ct_maple_ver01/data/sn92051487/0027176330A/1903021301/0089.pdf,-73.3034505,41.4139844
The Florence Daily Tribune,04-15-1901,2,Florence,Colorado,https://tile.loc.gov/storage-services/service/ndnp/cohi/batch_cohi_bowerman_ver01/data/sn90051342/00513680478/1901041501/0628.pdf,-105.1181134,38.3391349
The News Scimitar,04-05-1919,9,Memphis,Tennessee,https://tile.loc.gov/storage-services/service/ndnp/tu/batch_tu_carla_ver01/data/sn98069867/00415621656/1919040501/0723.pdf,-89.9677041,35.1087723
Svenska Monitoren,08-17-1917,4,Sioux City,Iowa,https://tile.loc.gov/storage-services/service/ndnp/iahi/batch_iahi_latios_ver01/data/sn87058078/00340584879/1917081701/0735.pdf,-96.4003069,42.4999942
The Daily Sentinel,05-25-1910,7,Grand Junction,Colorado,https://tile.loc.gov/storage-services/service/ndnp/cohi/batch_cohi_ludlow_ver01/data/sn86066870/00513680296/1910052501/1035.pdf,-108.584282,39.0789901
Decorah Public Opinion,02-02-1916,4,Decorah,Iowa,https://tile.loc.gov/storage-services/service/ndnp/iahi/batch_iahi_blissey_ver01/data/sn87058235/00279528827/1916020201/0594.pdf,-91.7835708,43.298651
The Dickenson County Herald,12-06-1928,3,Clintwood,Virginia,https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_icelandic_ver01/data/sn95079120/00393348501/1928120601/0383.pdf,-82.510189,37.1784414
The Norfolk Weekly News-Journal,01-07-1910,5,Norfolk,Nebraska,https://tile.loc.gov/storage-services/service/ndnp/nbu/batch_nbu_hershey_ver01/data/sn95070058/00206538594/1910010701/0204.pdf,-97.4169966,42.0416712
The Daily Telegram,02-06-1907,7,Clarksburg,West Virginia,https://tile.loc.gov/storage-services/service/ndnp/wvu/batch_wvu_coltrane_ver01/data/sn85059715/00415660698/1907020601/0236.pdf,-80.3342627,39.2788842
Minnesotské Noviny,12-19-1912,4,Saint Paul,Minnesota,https://tile.loc.gov/storage-services/service/ndnp/mnhi/batch_mnhi_jabbah_ver01/data/sn90059424/00199919210/1912121901/0086.pdf,-92.9994943,45.0136966
The Taney County Republican,10-06-1910,2,Forsyth,Missouri,https://tile.loc.gov/storage-services/service/ndnp/mohi/batch_mohi_calvin_ver03/data/sn89067390/00294555997/1910100601/0351.pdf,-93.1015277,36.6859644
The Garland Globe,09-12-1908,2,Garland,Utah,https://tile.loc.gov/storage-services/service/ndnp/uuml/batch_uuml_dewaele_ver01/data/sn85058179/00237285426/1908091201/0255.pdf,-112.162704,41.7361873
Western Liberal,06-15-1900,3,Lordsburg,New Mexico,https://tile.loc.gov/storage-services/service/ndnp/nmu/batch_nmu_barberry_ver04/data/sn92070405/00280774522/1900061501/0720.pdf,-108.7021214,32.3437767
The Evening Standard,12-24-1910,3,Ogden,Utah,https://tile.loc.gov/storage-services/service/ndnp/uuml/batch_uuml_fifteen_ver01/data/sn85058397/paper/1910122401/1404.pdf,-112.0125218,41.2169975
Eagle River Democrat,06-22-1896,7,Eagle River,Wisconsin,https://tile.loc.gov/storage-services/service/ndnp/whi/batch_whi_bobidosh_ver01/data/sn85040612/0051415093A/1896062201/0447.pdf,-89.255982,45.9249704
Albuquerque Evening Citizen,01-15-1906,7,Albuquerque,New Mexico,https://tile.loc.gov/storage-services/service/ndnp/nmu/batch_nmu_ironweed_ver01/data/sn84020615/00280773980/1906011501/0108.pdf,-106.667526,35.1017126
The Mankato Free Press,02-17-1922,1,Mankato,Minnesota,https://tile.loc.gov/storage-services/service/ndnp/mnhi/batch_mnhi_goalball_ver01/data/sn83016589/00393341026/1922021701/0048.pdf,-93.9308505,44.1398345
Oxford Eagle,08-07-1902,4,Oxford,Mississippi,https://tile.loc.gov/storage-services/service/ndnp/msar/batch_msar_diamond_ver01/data/sn87065469/00383344049/1902080701/1047.pdf,-89.5048057,34.3551927
The Glenwood Post,08-02-1923,1,Glenwood Springs,Colorado,https://tile.loc.gov/storage-services/service/ndnp/cohi/batch_cohi_dyersville_ver01/data/sn91052064/00513680533/1923080201/0669.pdf,-107.2472567,39.726178
Ottumwa Semi-Weekly Courier,09-17-1903,11,Ottumwa,Iowa,https://tile.loc.gov/storage-services/service/ndnp/iahi/batch_iahi_isbell_ver01/data/sn86061214/00415668715/1903091701/0681.pdf,-92.4186373,41.0193759
Juniata Sentinel And Republican,11-27-1895,1,Mifflintown,Pennsylvania,https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_nittany_ver01/data/sn86053634/00212478040/1895112701/0294.pdf,-77.3969339,40.5697996
Perth Amboy Evening News,12-23-1922,1,Perth Amboy,New Jersey,https://tile.loc.gov/storage-services/service/ndnp/njr/batch_njr_ginger_ver02/data/sn85035720/00383340718/1922122302/1133.pdf,-74.270692,40.5197015
Ventnor News,03-05-1924,17,Ventnor City,New Jersey,https://tile.loc.gov/storage-services/service/ndnp/njr/batch_njr_jackson_ver01/data/sn92059905/00513685889/1924030501/0316.pdf,-74.4773735,39.3403942
The Tucson Citizen,05-03-1902,5,Tucson,Arizona,https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_jeddito_ver01/data/sn84020674/00414218015/1902050301/0387.pdf,-110.7647731,32.151084
The Thermopolis Independent,08-27-1920,7,Thermopolis,Wyoming,https://tile.loc.gov/storage-services/service/ndnp/wyu/batch_wyu_dryad_ver01/data/sn92067173/00516998684/1920082701/2267.pdf,-107.9212652,43.6167706
Audubon Republican,11-10-1921,6,Audubon,Iowa,https://tile.loc.gov/storage-services/service/ndnp/iahi/batch_iahi_hariyama_ver01/data/sn87057928/00340584533/1921111001/1070.pdf,-94.9058222,41.6845893
Pierre Weekly Free Press,10-28-1915,1,Pierre,South Dakota,https://tile.loc.gov/storage-services/service/ndnp/sdhi/batch_sdhi_jayhawk_ver01/data/sn98062890/00415624803/1915102801/0938.pdf,-100.3831309,44.3679084
The Challis Messenger,08-13-1924,2,Challis,Idaho,https://tile.loc.gov/storage-services/service/ndnp/idhi/batch_idhi_hatra_ver01/data/sn88056159/00279551047/1924081301/0887.pdf,-114.0172261,44.3392514
Kansas City Journal,02-22-1898,1,Kansas City,Missouri,https://tile.loc.gov/storage-services/service/ndnp/mohi/batch_mohi_dred_ver01/data/sn86063615/00211109142/1898022201/0348.pdf,-94.5621773,39.130004
The Star And Newark Advertiser,03-10-1908,6,Newark,New Jersey,https://tile.loc.gov/storage-services/service/ndnp/njr/batch_njr_anthony_ver01/data/sn91064009/00332897160/1908031001/0801.pdf,-74.1622556,40.7509599
La Junta Tribune,04-13-1907,8,La Junta,Colorado,https://tile.loc.gov/storage-services/service/ndnp/cohi/batch_cohi_elkton_ver01/data/sn90051267/00383340950/1907041301/0040.pdf,-103.5939535,37.9775485
The Evening Caledonian,10-10-1918,4,Saint Johnsbury,Vermont,https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_enosburg_ver01/data/sn97067598/0020219672A/1918101001/0185.pdf,-72.0115215,44.4554472
Waterbury Evening Democrat,03-09-1905,5,Waterbury,Connecticut,https://tile.loc.gov/storage-services/service/ndnp/ct/batch_ct_locust_ver01/data/sn93053726/00271763360/1905030901/0614.pdf,-73.0360691,41.5582522
Americus Times-Recorder,09-22-1921,1,Americus,Georgia,https://tile.loc.gov/storage-services/service/ndnp/gu/batch_gu_draco_ver01/data/sn89053204/00393343618/1921092201/0735.pdf,-84.2230199,32.0473423
New Hampshire Farmer And Weekly Union,10-01-1913,8,Manchester,New Hampshire,https://tile.loc.gov/storage-services/service/ndnp/nhd/batch_nhd_doublehead_ver02/data/sn90062374/00517015520/1913100101/0476.pdf,-71.4446995,42.9847769
The Arizona Range News,02-02-1912,6,Willcox,Arizona,https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_electrum_ver02/data/sn95060997/00517018934/1912020201/0758.pdf,-109.8841729,32.17905
The Kenna Record,05-20-1921,1,Kenna,New Mexico,https://tile.loc.gov/storage-services/service/ndnp/nmu/batch_nmu_cinquefoil_ver04/data/sn93061371/00280773566/1921052001/0596.pdf,,
The Daily Nome Industrial Worker,01-21-1918,4,Nome,Alaska,https://tile.loc.gov/storage-services/service/ndnp/ak/batch_ak_eagle_ver01/data/sn96094905/00514154776/1918012101/0078.pdf,-164.2443226,64.8354505
Lewiston Evening Teller,09-14-1907,2,Lewiston,Idaho,https://tile.loc.gov/storage-services/service/ndnp/idhi/batch_idhi_hurston_ver02/data/sn86091109/00295867930/1907091401/0100.pdf,-116.8748293,46.1963091
The Times,04-05-1901,2,Richmond,Virginia,https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_felix_ver01/data/SN85034438/00175045636/1901040501/0026.pdf,-76.7296873,37.9370591
The Arizona Daily Orb,01-03-1900,3,Bisbee,Arizona,https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_falcon_ver01/data/sn94050505/0021110627A/1900010301/0644.pdf,-110.0834923,31.4579213
The Mt. Sterling Advocate,01-21-1902,6,Mount Sterling,Kentucky,https://tile.loc.gov/storage-services/service/ndnp/kyu/batch_kyu_kinks_ver01/data/sn86069675/00100481959/1902012101/0884.pdf,-83.9458376,38.0778976
Lincoln County Times,02-10-1916,6,Jerome,Idaho,https://tile.loc.gov/storage-services/service/ndnp/idhi/batch_idhi_bagrati_ver02/data/sn89055184/00414211719/1916021001/0516.pdf,-114.2639414,42.6899047
Newark Post,03-29-1922,8,Newark,Delaware,https://tile.loc.gov/storage-services/service/ndnp/deu/batch_deu_imperio_ver01/data/sn88053005/00271741170/1922032901/1124.pdf,-75.7419692,39.6876057
The Medina Sentinel,07-09-1920,8,Medina,Ohio,https://tile.loc.gov/storage-services/service/ndnp/ohi/batch_ohi_himilco_ver01/data/sn84028262/00296026992/1920070901/0267.pdf,-81.8997238,41.1175705
The Fargo Forum And Daily Republican,03-20-1912,7,Fargo,North Dakota,https://tile.loc.gov/storage-services/service/ndnp/ndhi/batch_ndhi_insectoid_ver01/data/sn85042224/00383345698/1912032001/0793.pdf,-96.8293884,46.8644288
The Caledonian-Record,02-16-1922,6,Saint Johnsbury,Vermont,https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_fairbanks_ver02/data/sn90005351/00202197875/1922021601/0241.pdf,-72.0115215,44.4554472
Bellows Falls Times,05-06-1896,3,Bellows Falls,Vermont,https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_melon_ver01/data/sn84022549/0041562850A/1896050601/0143.pdf,-72.4549912,43.1343997
The Monroe Journal,03-03-1916,7,Monroe,North Carolina,https://tile.loc.gov/storage-services/service/ndnp/ncu/batch_ncu_kings_ver01/data/sn91068476/00415667358/1916030301/1000.pdf,-79.4450307,35.2187679
The Dawson News,11-06-1923,10,Dawson,Georgia,https://tile.loc.gov/storage-services/service/ndnp/gu/batch_gu_beaker_ver01/data/sn89053283/0051717712A/1923110601/0106.pdf,-84.1706357,34.4442981
The Benson Signal,11-18-1916,4,Benson,Arizona,https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_horseshoebend_ver02/data/sn94050514/00414217680/1916111801/0356.pdf,-110.2713714,32.1115746
Twin City Review,11-14-1924,4,Champaign,Illinois,https://tile.loc.gov/storage-services/service/ndnp/iune/batch_iune_bismuth_ver01/data/sn96071000/00332898140/1924111401/0985.pdf,-88.1991707,40.140089
La Prensa,03-05-1921,7,Los Angeles,California,https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_hairgrass_ver01/data/sn83045394/0027176683A/1921030501/0499.pdf,-118.2303511,34.0580672
Atlanta Tri-Weekly Journal,03-13-1924,6,Atlanta,Georgia,https://tile.loc.gov/storage-services/service/ndnp/gu/batch_gu_hydrus_ver01/data/sn89053713/00393343849/1924031301/0186.pdf,-84.4147989,33.7905093
The Rock Island Argus And Daily Union,08-04-1920,6,Rock Island,Illinois,https://tile.loc.gov/storage-services/service/ndnp/iune/batch_iune_feature_ver01/data/sn92053933/00295872846/1920080401/0443.pdf,-90.5674126,41.4673286
Paris Express,10-30-1902,7,Paris,Arkansas,https://tile.loc.gov/storage-services/service/ndnp/arhi/batch_arhi_biotite_ver01/data/sn89051220/00513688374/1902103001/0784.pdf,-93.7250948,35.2894337
The Alaska Citizen,04-27-1914,8,Fairbanks,Alaska,https://tile.loc.gov/storage-services/service/ndnp/ak/batch_ak_gyrfalcon_ver01/data/sn96060002/00279526259/1914042701/0142.pdf,-146.5654229,64.8077662
The Teton Peak,07-09-1903,4,Saint Anthony,Idaho,https://tile.loc.gov/storage-services/service/ndnp/idhi/batch_idhi_jacobs_ver01/data/sn86091134/0029586798A/1903070901/0138.pdf,-111.7049688,43.9471519
Daily Press,11-01-1905,1,Newport News,Virginia,https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_aqua_ver01/data/sn83045830/0017503125A/1905110101/0225.pdf,-76.5164597,37.0760498
Rawlins Republican,05-10-1923,2,Rawlins,Wyoming,https://tile.loc.gov/storage-services/service/ndnp/wyu/batch_wyu_kirby_ver01/data/sn92067236/00514150266/1923051001/0376.pdf,-107.3810109,41.6994948
The Mountainair Independent,05-27-1920,4,Mountainair,New Mexico,https://tile.loc.gov/storage-services/service/ndnp/nmu/batch_nmu_elk_ver01/data/sn93061704/00296024806/1920052701/0979.pdf,-105.7672172,34.5413319
Cheraw Chronicle,04-27-1922,2,Cheraw,South Carolina,https://tile.loc.gov/storage-services/service/ndnp/scu/batch_scu_grandamericancoonhunt_ver01/data/sn86063782/00295862580/1922042701/0338.pdf,-79.9147873,34.6401196
The Independent-Reporter,07-29-1920,11,Skowhegan,Maine,https://tile.loc.gov/storage-services/service/ndnp/me/batch_me_harpswell_ver01/data/sn96075050/00340587868/1920072901/0817.pdf,-69.6657324,44.7553489
Daily Public Ledger,03-22-1910,4,Maysville,Kentucky,https://tile.loc.gov/storage-services/service/ndnp/kyu/batch_kyu_hairspray_ver01/data/sn86069117/00211103826/1910032201/0340.pdf,-83.8071166,38.6193758
L'Italia,06-15-1908,8,San Francisco,California,https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_clarkia_ver02/data/sn85066408/0027176702A/1908061501/1171.pdf,-121.6227222,37.0741136
Orleans County Monitor,01-21-1901,1,Barton,Vermont,https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_middlebury_ver01/data/sn84022871/00202196469/1901012101/0456.pdf,-72.1661172,44.7584909
The Labor World,10-05-1907,1,Duluth,Minnesota,https://tile.loc.gov/storage-services/service/ndnp/mnhi/batch_mnhi_isuzu_ver01/data/sn78000395/00212472499/1907100501/0610.pdf,-91.8629096,46.9681516
The Savannah Morning News,04-22-1901,2,Savannah,Georgia,https://tile.loc.gov/storage-services/service/ndnp/gu/batch_gu_gadget_ver01/data/sn89053684/0041418232A/1901042201/1298.pdf,-81.1075612,31.9081249
The Key West Citizen,03-20-1926,2,Key West,Florida,https://tile.loc.gov/storage-services/service/ndnp/fu/batch_fu_bathouse_ver01/data/sn83016244/0027176165A/1926032001/0202.pdf,-82.2480068,24.6246348
The Herald And News,10-07-1910,1,Newberry,South Carolina,https://tile.loc.gov/storage-services/service/ndnp/scu/batch_scu_garydavis_ver01/data/sn86063758/00237287423/1910100701/0305.pdf,-81.6001199,34.2898118
Industrial Freedom,09-17-1898,2,Edison,Washington,https://tile.loc.gov/storage-services/service/ndnp/wa/batch_wa_hemlock_ver02/data/sn88085617/00211108484/1898091701/0085.pdf,,
The Pleasantville Press,08-08-1923,6,Pleasantville,New Jersey,https://tile.loc.gov/storage-services/service/ndnp/njr/batch_njr_harris_ver01/data/sn91064030/00332897007/1923080801/0509.pdf,-74.5168509,39.3899374
The Iola Register,05-12-1899,3,Iola,Kansas,https://tile.loc.gov/storage-services/service/ndnp/khi/batch_khi_garwood_ver02/data/sn83040340/00237285311/1899051201/0124.pdf,-91.986332,36.3967442
The Meeker Herald,10-18-1902,4,Meeker,Colorado,https://tile.loc.gov/storage-services/service/ndnp/cohi/batch_cohi_halfway_ver01/data/sn90051081/00383341541/1902101801/0654.pdf,-107.8985053,39.9846228
The Providence News,07-27-1899,1,Providence,Rhode Island,https://tile.loc.gov/storage-services/service/ndnp/rp/batch_rp_firefriend_ver01/data/sn91070630/00514152962/1899072701/0906.pdf,-71.4574684,41.8616055
Phillipsburg Herald,03-23-1899,7,Phillipsburg,Kansas,https://tile.loc.gov/storage-services/service/ndnp/khi/batch_khi_curry_ver01/data/sn85029677/00212473091/1899032301/1191.pdf,-99.3478806,39.785966
The Springfield Herald,08-10-1900,2,Springfield,Colorado,https://tile.loc.gov/storage-services/service/ndnp/cohi/batch_cohi_illif_ver01/data/sn89052133/00383341152/1900081001/0592.pdf,-102.6118769,37.4345772
The Elbert County Tribune,07-19-1906,5,Elbert,Colorado,https://tile.loc.gov/storage-services/service/ndnp/cohi/batch_cohi_jasper_ver01/data/sn90051300/00340586128/1906071901/0747.pdf,-104.135676,39.2865167
The Montana Plaindealer,07-06-1906,2,Helena,Montana,https://tile.loc.gov/storage-services/service/ndnp/mthi/batch_mthi_bighornsheep_ver01/data/sn84036199/00294550045/1906070601/0067.pdf,-112.0422425,46.6010189
The Wibaux Pioneer,10-16-1914,2,Wibaux,Montana,https://tile.loc.gov/storage-services/service/ndnp/mthi/batch_mthi_egret_ver02/data/sn85053308/00295860960/1914101601/1069.pdf,-104.248944,46.9653298
Clearwater Republican,03-06-1914,2,Orofino,Idaho,https://tile.loc.gov/storage-services/service/ndnp/idhi/batch_idhi_doyle_ver01/data/sn86091128/00415666251/1914030601/0794.pdf,-116.2570571,46.4866248
Weekly Independent,11-15-1907,3,Elko,Nevada,https://tile.loc.gov/storage-services/service/ndnp/nvln/batch_nvln_keystone_ver03/data/sn86076366/00279555119/1907111501/0393.pdf,-115.7375674,40.8557542
The Silver State News,08-31-1909,1,Winnemucca,Nevada,https://tile.loc.gov/storage-services/service/ndnp/nvln/batch_nvln_deeth_ver01/data/sn86076356/00332890426/1909083101/0280.pdf,-117.7215494,40.9530854
The Ely Miner,08-06-1920,6,Ely,Minnesota,https://tile.loc.gov/storage-services/service/ndnp/mnhi/batch_mnhi_ironman_ver02/data/sn90059182/00393341282/1920080601/0265.pdf,-93.7084086,44.2408099
The Diamond Drill,11-13-1897,6,Crystal Falls,Michigan,https://tile.loc.gov/storage-services/service/ndnp/mimtptc/batch_mimtptc_elsie_ver01/data/sn96076817/00415669458/1897111301/1152.pdf,-88.3264446,46.0967098
Cottonwood Chronicle,09-30-1921,5,Cottonwood,Idaho,https://tile.loc.gov/storage-services/service/ndnp/idhi/batch_idhi_fitzgerald_ver02/data/sn88056166/00295867735/1921093001/0663.pdf,-116.5056902,45.9348763
Cochise Review,07-03-1900,2,Bisbee,Arizona,https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_falcon_ver01/data/sn94050513/00211106281/1900070301/0243.pdf,-110.0834923,31.4579213
The Kemmerer Republican,01-30-1920,1,Kemmerer,Wyoming,https://tile.loc.gov/storage-services/service/ndnp/wyu/batch_wyu_karig_ver02/data/sn92067163/00542862087/1920013001/1023.pdf,-110.3043996,41.9207706
The Nome Daily Nugget,12-04-1911,1,Nome,Alaska,https://tile.loc.gov/storage-services/service/ndnp/ak/batch_ak_iceworm_ver02/data/sn87062011/00279525735/1911120401/0015.pdf,-164.2443226,64.8354505
The Times And Democrat,02-23-1911,4,Orangeburg,South Carolina,https://tile.loc.gov/storage-services/service/ndnp/scu/batch_scu_gnomiemoore_ver01/data/sn86063756/00294558822/1911022301/0386.pdf,-80.8002997,33.4389915
The Roswell Daily Record,10-12-1904,1,Roswell,New Mexico,https://tile.loc.gov/storage-services/service/ndnp/nmu/batch_nmu_graywolf_ver02/data/sn86063823/00296025732/1904101201/0348.pdf,-104.5258782,33.3954148
The Cairo Bulletin,10-13-1913,6,Cairo,Illinois,https://tile.loc.gov/storage-services/service/ndnp/iune/batch_iune_kerning_ver01/data/sn93055779/00295872743/1913101301/0688.pdf,-89.1819451,37.0061378
The Caldwell Tribune,05-25-1923,3,Caldwell,Idaho,https://tile.loc.gov/storage-services/service/ndnp/idhi/batch_idhi_iguacu_ver01/data/sn86091092/00279551072/1923052501/0268.pdf,-116.7349413,43.6485387
St. Landry Clarion,04-27-1901,2,Opelousas,Louisiana,https://tile.loc.gov/storage-services/service/ndnp/lu/batch_lu_jacobi_ver01/data/sn88064250/00212475646/1901042701/0300.pdf,-92.0816088,30.5252093
Sulphur Valley News,08-25-1896,3,Willcox,Arizona,https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_anthillgarnet_ver04/data/sn96060502/00517019252/1896082501/0496.pdf,-109.8841729,32.17905
The Evening Times,03-13-1909,1,Grand Forks,North Dakota,https://tile.loc.gov/storage-services/service/ndnp/ndhi/batch_ndhi_deering_ver01/data/sn85042373/0021247583A/1909031301/0339.pdf,-97.4569239,47.9219152
Nassau County Leader,01-17-1896,2,Fernandina,Florida,https://tile.loc.gov/storage-services/service/ndnp/fu/batch_fu_seven_ver02/data/sn95026701/00175040705/1896011701/0007.pdf,-81.420716,30.61422
Albuquerque Weekly Citizen,06-28-1902,5,Albuquerque,New Mexico,https://tile.loc.gov/storage-services/service/ndnp/nmu/batch_nmu_elkweed_ver01/data/sn92070464/00280773815/1902062801/0191.pdf,-106.667526,35.1017126
Gwiazda Zachodu = Western Star,09-14-1923,1,Omaha,Nebraska,https://tile.loc.gov/storage-services/service/ndnp/nbu/batch_nbu_bluejay_ver02/data/sn83045201/00517013936/1923091401/0737.pdf,-96.5357502,42.0922742
The Kennewick Courier-Reporter,10-23-1919,7,Kennewick,Washington,https://tile.loc.gov/storage-services/service/ndnp/wa/batch_wa_dowitcher_ver01/data/sn87093042/00332890153/1919102301/0615.pdf,-119.269786,46.213816
The Daily Silver State,02-23-1906,4,Winnemucca,Nevada,https://tile.loc.gov/storage-services/service/ndnp/nvln/batch_nvln_deeth_ver01/data/sn86076224/00332890402/1906022301/0163.pdf,-117.7215494,40.9530854
The Saratoga Sun,10-26-1905,1,Saratoga,Wyoming,https://tile.loc.gov/storage-services/service/ndnp/wyu/batch_wyu_etna_ver03/data/sn83002748/00514150175/1905102601/0481.pdf,-106.7932292,41.2921107
The Salt Lake Herald-Republican,05-22-1910,16,Salt Lake City,Utah,https://tile.loc.gov/storage-services/service/ndnp/uuml/batch_uuml_seven_ver01/data/sn85058140/00175049812/1910052201/0432.pdf,-111.8763236,40.6263366
Vilas County News,12-10-1924,6,Eagle River,Wisconsin,https://tile.loc.gov/storage-services/service/ndnp/whi/batch_whi_lenawee_ver01/data/sn85040613/00514158812/1924121001/0155.pdf,-89.255982,45.9249704
The Washington Critic,05-15-1890,3,Washington,District Of Columbia,https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_harry_ver01/data/sn2008058169/00211103577/1890051501/0449.pdf,-77.0163653,38.9001118
The Alliance Herald,07-26-1921,5,Alliance,Nebraska,https://tile.loc.gov/storage-services/service/ndnp/nbu/batch_nbu_ford_ver02/data/2010270501/00211102688/1921072601/0626.pdf,-100.3643108,40.3063949
Little Falls Herald,06-25-1920,4,Little Falls,Minnesota,https://tile.loc.gov/storage-services/service/ndnp/mnhi/batch_mnhi_peugeot_ver01/data/sn89064515/00212479147/1920062501/0217.pdf,-94.2970459,45.9449422
Evening Capital,05-18-1901,4,Annapolis,Maryland,https://tile.loc.gov/storage-services/service/ndnp/mdu/batch_mdu_kensington_ver02/data/sn88065721/00279521444/1901051801/0069.pdf,-76.503936,38.9706731
Pleasantville Weekly Press,01-20-1897,1,Pleasantville,New Jersey,https://tile.loc.gov/storage-services/service/ndnp/njr/batch_njr_gandolfini_ver01/data/sn91064029/00332896714/1897012001/0414.pdf,-74.5168509,39.3899374
The Seattle Post-Intelligencer,09-15-1900,10,Seattle,Washington,https://tile.loc.gov/storage-services/service/ndnp/wa/batch_wa_index_ver01/data/sn83045604/00202199719/1900091501/0844.pdf,-122.6354506,48.5162154
Milford Chronicle,08-07-1903,5,Milford,Delaware,https://tile.loc.gov/storage-services/service/ndnp/deu/batch_deu_catwoman_ver01/data/sn87062224/00514156384/1903080701/0276.pdf,-75.4163075,38.983446
The Rathdrum Tribune,08-20-1920,4,Rathdrum,Idaho,https://tile.loc.gov/storage-services/service/ndnp/idhi/batch_idhi_evanovich_ver01/data/sn88056093/00415666469/1920082001/1255.pdf,-116.9558251,47.7645046
The Libby Herald,02-21-1913,6,Libby,Montana,https://tile.loc.gov/storage-services/service/ndnp/mthi/batch_mthi_coyote_ver01/data/sn85053292/0029455466A/1913022101/0639.pdf,-115.3434905,48.335794
The Grenada Sentinel,02-03-1906,3,Grenada,Mississippi,https://tile.loc.gov/storage-services/service/ndnp/msar/batch_msar_flax_ver01/data/sn85034375/00199917109/1906020301/0128.pdf,-89.8020062,33.7699539
The Prison Mirror,04-10-1930,3,Stillwater,Minnesota,https://tile.loc.gov/storage-services/service/ndnp/mnhi/batch_mnhi_juliet_ver02/data/sn90060766/00542865404/1930041001/0921.pdf,-92.8105907,45.1026223
Bluefield Evening Leader,09-27-1910,1,Bluefield,West Virginia,https://tile.loc.gov/storage-services/service/ndnp/wvu/batch_wvu_ellis_ver01/data/sn86092066/00414186579/1910092701/0389.pdf,-81.214931,37.2606275
The Sentinel=Record,11-03-1912,4,Hot Springs,Arkansas,https://tile.loc.gov/storage-services/service/ndnp/arhi/batch_arhi_fearow_ver01/data/sn89051285/0041421275A/1912110301/0225.pdf,-93.0472704,34.493721
The Ward County Independent,11-09-1922,6,Minot,North Dakota,https://tile.loc.gov/storage-services/service/ndnp/ndhi/batch_ndhi_kensal_ver01/data/sn88076421/0021247888A/1922110901/0636.pdf,-101.2790043,48.2376127
Democratic Messenger,05-01-1909,11,Snow Hill,Maryland,https://tile.loc.gov/storage-services/service/ndnp/mdu/batch_mdu_denton_ver02/data/sn84026758/00279522412/1909050101/0141.pdf,-75.3903029,38.1728886
The Wichita Searchlight,10-01-1910,3,Wichita,Kansas,https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_bouie_ver01/data/sn85032585/00211664113/1910100101/0706.pdf,-101.3473557,38.4820845
Audubon County Journal,08-05-1920,6,Exira,Iowa,https://tile.loc.gov/storage-services/service/ndnp/iahi/batch_iahi_kutcher_ver01/data/sn87057934/00415622727/1920080501/0298.pdf,-94.8712174,41.5531587
The Gazette-Times,08-12-1920,6,Heppner,Oregon,https://tile.loc.gov/storage-services/service/ndnp/oru/batch_oru_grizzly_ver01/data/sn97071038/00295868442/1920081201/0742.pdf,-119.4580972,45.2710148
The United Opinion,04-29-1921,7,Bradford,Vermont,https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_ludlow_ver01/data/sn85038102/00202194904/1921042901/0882.pdf,-72.1580588,44.0109639
Le ProgrèS,11-29-1901,4,Woonsocket,Rhode Island,https://tile.loc.gov/storage-services/service/ndnp/rp/batch_rp_barbeddevil_ver02/data/sn83045044/00514153486/1901112901/0713.pdf,-71.4993022,42.0010305
The Morning Examiner,05-15-1910,14,Ogden,Utah,https://tile.loc.gov/storage-services/service/ndnp/uuml/batch_uuml_fourteen_ver01/data/sn85058394/print/1910051501/0241.pdf,-112.0125218,41.2169975
Cresco Plain Dealer,06-27-1919,2,Cresco,Iowa,https://tile.loc.gov/storage-services/service/ndnp/iahi/batch_iahi_clinton_ver01/data/sn87058075/00295875094/1919062701/0210.pdf,-94.2699206,43.0352711
